one,two,three,four,five,six,seven,eight
48,1,41,83,167,34,2,39
48,3,51,85,179,35,1,39
43,0,48,87,185,34,1,36
41,1,50,92,186,37,2,40
49,3,54,91,187,37,3,40
45,4,59,91,183,42,4,41
36,2,53,91,189,40,3,39
36,2,53,92,190,35,0,34
30,0,52,92,189,37,0,34
38,4,56,96,187,39,2,40
36,4,54,92,190,39,3,43
38,6,53,95,180,39,2,39
29,1,52,101,217,39,1,40
32,0,33,90,228,39,0,37
39,0,38,93,207,39,3,41
41,3,39,94,208,45,3,38
43,4,40,95,207,46,5,42
41,3,48,94,195,45,2,39
40,2,46,94,201,45,0,40
29,0,45,94,197,43,0,42
40,3,55,98,210,46,3,37
41,3,52,97,202,40,3,40
48,6,52,97,195,41,3,40
40,3,53,95,197,40,2,40
37,3,52,86,194,35,0,34
23,1,52,87,196,37,0,41
36,2,53,97,199,41,2,41
40,3,53,98,197,40,3,40
42,16,53,98,210,41,5,39
41,1,53,98,205,39,2,38
40,3,53,94,207,39,1,39
36,0,52,95,207,40,2,35
37,0,45,99,206,38,0,41
42,3,49,103,209,39,2,41
42,3,55,100,203,40,2,39
46,9,54,97,176,42,1,39
40,1,56,95,210,40,2,37
39,2,56,106,235,36,0,36
29,0,40,113,219,42,8,36
39,0,44,117,223,44,10,40
37,3,45,114,221,42,10,41
35,4,46,116,224,44,12,44
42,5,46,114,229,48,10,38
39,3,46,116,231,45,9,39
39,2,47,111,228,44,4,36
29,4,39,112,230,45,7,37
38,3,49,115,232,47,14,42
42,4,49,118,230,45,11,42
41,3,51,116,230,47,12,44
49,4,56,116,232,49,15,40
40,3,53,114,235,44,13,40
37,2,48,103,240,46,12,40
31,0,45,103,240,44,10,35
37,1,49,102,240,44,15,41
39,1,50,114,247,44,15,41
41,4,50,116,241,44,15,42
41,4,48,118,242,47,17,42
42,2,48,118,240,47,15,41
41,2,50,116,227,45,9,39
40,2,54,106,182,37,0,37
36,0,44,106,151,39,0,40
38,5,49,106,162,40,4,41
42,4,51,102,169,41,2,40
41,4,50,104,164,43,3,41
53,8,52,107,164,41,3,40
41,0,50,109,160,38,3,41
39,3,49,103,169,40,1,39
38,4,49,99,173,39,0,36
27,0,55,110,238,36,0,37
28,0,45,126,243,40,1,39
32,2,53,127,216,41,3,41
36,3,57,126,213,40,2,42
35,4,54,127,214,39,3,43
35,5,64,143,240,38,2,44
39,9,54,157,245,43,0,40
32,3,53,130,228,40,2,41
35,3,52,132,235,39,1,40
35,2,51,131,234,39,0,39
31,0,46,131,232,38,0,39
25,0,48,133,245,40,1,38
34,2,46,131,247,39,1,39
38,5,47,136,245,41,3,39
36,2,47,132,248,41,2,42
37,3,48,137,250,43,4,45
37,2,48,139,246,43,0,42
35,2,47,139,242,41,2,40
34,2,56,135,250,41,0,40
24,0,42,132,238,38,0,39
34,1,56,125,188,40,3,43
36,29,62,88,89,33,1,38
49,27,49,84,90,22,2,42
55,28,56,103,98,26,2,41
48,27,49,105,122,35,1,42
47,26,44,105,129,33,0,41
44,23,39,97,129,46,2,43
47,25,45,101,132,50,0,41
48,26,53,110,185,43,3,42
48,8,49,113,197,45,3,42
48,9,53,115,177,47,3,42
45,8,47,114,170,43,2,40
