one,two,three,four,five,six,seven,eight
1,1,69,84,8,26,0,37
0,0,110,85,23,18,2,37
18,1,107,86,22,17,3,41
23,2,104,87,21,19,4,44
9,0,102,85,21,18,1,39
17,0,93,84,21,17,2,39
2,2,93,87,22,18,3,41
3,8,91,85,23,19,3,40
9,1,60,83,23,18,1,35
4,0,88,84,20,19,0,33
12,3,92,84,23,20,2,34
10,2,92,83,22,18,4,35
9,1,98,82,23,21,3,34
9,0,91,78,21,20,0,30
16,0,91,82,24,21,3,34
17,1,92,83,24,23,1,35
21,2,93,83,25,23,1,34
16,1,92,81,24,22,0,32
2,0,86,83,26,22,0,35
14,3,93,82,25,23,2,35
14,2,93,82,26,25,3,36
13,2,93,82,24,22,0,33
8,0,90,81,24,22,0,29
13,0,92,84,25,27,2,35
10,2,94,83,25,27,2,35
11,2,100,82,25,26,2,33
9,0,93,81,24,27,1,30
26,0,92,81,24,25,1,32
27,1,94,82,24,27,3,35
28,6,94,82,25,27,3,32
28,1,93,82,24,27,2,34
16,0,90,81,25,26,0,30
26,3,94,83,24,27,2,35
30,2,94,84,25,32,2,39
19,0,94,85,24,27,2,35
14,0,90,80,23,24,0,29
17,0,92,83,24,27,3,35
20,1,94,80,24,28,2,36
20,2,93,83,24,27,1,35
18,0,93,80,23,27,0,31
22,0,93,80,23,28,1,36
20,1,93,84,24,23,3,36
21,2,94,84,26,21,1,35
1,1,93,83,24,23,1,34
7,0,90,81,21,22,0,32
12,1,94,84,25,23,2,36
13,3,94,85,26,21,9,38
16,0,91,83,25,22,3,36
10,0,92,81,22,20,0,30
17,1,91,81,25,22,3,37
17,2,93,83,25,22,2,35
11,2,93,90,25,21,0,37
11,0,92,84,24,21,1,35
8,0,95,85,26,20,0,32
19,1,95,83,25,21,2,37
20,1,95,86,27,23,2,35
1,1,94,82,25,20,0,36
3,1,92,85,25,21,0,36
13,2,95,85,25,21,2,37
19,8,91,83,29,23,3,36
19,1,94,87,24,23,1,35
13,0,86,76,30,47,0,34
20,2,92,76,33,39,2,37
35,4,87,88,34,39,3,36
16,1,85,98,63,31,1,35
9,0,83,96,59,42,0,30
20,2,86,98,62,39,3,36
22,2,105,94,58,29,2,37
20,1,87,94,56,29,1,35
17,0,87,92,57,27,2,34
21,2,87,95,57,30,2,36
21,3,88,96,57,30,2,35
22,1,88,94,56,30,1,36
30,0,91,93,55,30,0,35
35,2,87,95,57,30,2,36
41,6,89,96,57,32,2,35
26,1,88,94,57,30,1,34
26,0,79,95,55,28,1,35
35,2,88,95,56,30,2,36
34,2,87,100,57,31,3,37
27,0,87,95,56,30,0,36
18,0,85,92,56,28,0,36
28,2,88,94,56,31,3,36
29,1,87,93,57,30,3,37
28,0,85,94,57,30,1,36
29,0,83,91,54,31,0,34
30,2,86,95,57,30,3,36
20,7,88,95,57,30,1,38
19,1,88,94,56,30,1,35
12,0,85,92,56,29,0,31
20,2,86,95,58,30,2,36
20,10,91,96,60,32,2,37
18,1,88,95,56,30,0,37
5,0,86,91,52,26,0,29
17,2,88,96,57,30,2,37
16,2,85,96,57,31,9,43
8,0,86,95,57,27,1,35
13,0,89,93,55,27,0,30
7,0,88,94,56,30,1,34
14,1,90,93,57,30,2,36
