one,two,three,four,five,six,seven,eight
44,8,50,99,97,45,30,38
36,3,49,133,101,44,31,37
36,3,49,94,96,44,29,36
29,0,45,96,106,45,29,35
34,4,52,103,109,42,29,39
38,6,48,96,108,43,29,39
40,0,44,94,92,44,29,41
43,6,46,146,112,48,27,38
37,1,46,150,113,44,25,39
36,2,45,151,114,43,25,34
31,0,48,147,112,45,24,37
37,6,45,121,113,44,28,39
38,4,47,149,115,44,28,39
39,4,49,114,115,45,35,40
40,4,47,147,114,44,25,39
38,3,49,113,112,44,27,38
35,1,49,147,114,47,0,31
35,0,41,99,112,43,0,33
41,0,44,136,113,43,3,39
43,4,43,141,114,36,2,39
42,4,45,141,114,36,3,40
44,10,45,145,117,38,3,39
42,3,42,142,114,36,2,39
42,3,42,141,115,35,1,39
40,1,41,138,114,39,0,33
38,0,41,139,114,42,1,37
39,3,40,141,115,44,3,39
41,4,43,141,116,44,2,40
42,4,43,141,116,44,3,40
43,4,45,140,118,44,1,37
40,4,43,142,116,43,1,37
40,4,42,142,115,40,0,35
39,0,39,138,116,41,0,38
40,4,42,139,117,41,3,39
42,4,43,142,116,44,9,40
41,5,45,143,116,43,3,43
43,5,46,143,117,42,0,38
42,3,44,142,116,42,2,39
40,3,43,142,117,40,0,36
34,0,41,142,116,42,0,35
38,2,42,140,115,42,2,40
42,4,45,143,115,43,3,40
42,4,45,143,115,43,3,40
45,6,44,144,115,44,3,42
43,7,41,142,116,40,1,39
41,3,44,142,115,41,1,38
37,0,40,140,115,41,0,34
36,2,45,142,115,39,2,39
42,5,45,154,115,44,3,39
39,5,44,154,116,42,4,40
40,6,48,155,116,42,4,36
39,0,45,153,115,42,2,38
38,4,45,152,115,41,1,38
32,2,40,153,114,36,10,34
33,6,43,152,116,41,17,40
40,5,43,153,116,41,16,40
41,6,50,156,117,41,18,39
36,3,43,151,116,42,15,40
38,4,42,153,115,40,16,38
30,0,35,148,114,49,20,27
36,7,44,152,116,42,18,32
44,3,45,151,116,43,18,34
45,5,51,158,114,42,18,34
41,3,46,153,115,43,18,31
41,3,44,153,115,42,14,29
32,0,44,150,115,45,15,30
42,4,47,154,117,44,17,34
42,6,49,154,116,43,19,34
44,4,49,155,116,47,17,34
41,3,49,153,116,42,19,32
36,0,44,151,116,39,13,35
40,0,49,153,116,43,18,37
44,4,50,151,116,40,18,39
46,8,49,153,117,44,20,39
42,3,48,151,116,39,19,38
41,3,46,148,116,39,14,34
40,0,47,151,116,45,18,42
43,4,47,150,116,42,20,38
50,5,50,152,116,45,21,39
53,4,46,151,116,43,19,38
47,3,46,144,113,40,15,35
40,0,45,150,116,41,17,36
49,4,47,150,115,42,21,38
49,6,47,153,120,50,20,40
45,2,45,149,116,42,18,37
46,3,42,146,112,37,16,32
42,4,43,149,116,38,15,32
49,4,46,148,115,42,18,38
51,8,44,149,115,41,19,39
47,4,44,147,114,43,18,37
38,0,42,147,114,42,11,29
44,0,43,152,114,41,18,38
46,4,45,148,115,43,18,38
49,5,44,149,117,43,22,38
47,4,48,149,115,43,16,37
46,4,45,148,115,42,15,33
40,2,41,148,114,41,14,32
46,3,47,149,116,42,19,38
48,4,48,149,115,43,17,40
52,5,48,148,115,43,20,38
