one,two,three,four,five,six,seven,eight
36,0,16,67,153,43,34,36
38,0,20,72,159,43,38,36
42,1,21,66,177,55,36,34
41,1,19,62,145,57,37,36
43,1,10,62,137,55,33,37
36,1,9,83,175,53,35,32
39,0,9,77,149,49,30,31
35,0,11,80,178,49,30,34
41,0,15,81,184,52,37,35
41,1,19,83,191,52,35,35
52,1,19,84,178,54,38,38
41,1,19,81,176,53,36,33
39,0,19,78,173,49,31,32
34,0,19,75,176,51,33,29
41,1,20,82,177,53,37,36
41,1,10,77,179,53,38,38
38,0,10,77,178,50,39,33
40,0,9,83,177,54,35,35
39,0,15,83,176,52,32,31
43,2,16,88,177,54,37,36
41,1,10,88,178,55,38,42
45,0,11,87,180,56,37,34
38,0,8,88,179,56,33,30
31,0,10,86,179,58,33,33
41,1,15,87,178,57,37,35
41,1,11,86,184,57,43,40
38,0,9,81,178,54,37,36
32,0,6,78,178,57,32,28
41,0,7,79,181,55,38,39
40,1,9,82,180,65,37,37
48,2,10,82,180,63,38,38
40,0,18,80,180,63,36,35
30,0,16,82,176,61,30,30
36,2,19,83,179,64,38,37
40,1,18,82,179,64,37,37
43,2,20,83,175,64,37,37
40,1,20,84,178,63,35,34
37,0,16,83,176,58,34,29
37,2,17,80,179,62,38,37
41,1,19,79,181,62,37,35
52,1,21,82,183,64,39,36
39,0,16,83,179,62,37,35
37,0,11,83,175,59,32,27
42,0,11,81,179,64,36,35
41,1,20,83,177,67,38,35
42,1,21,85,181,66,38,37
39,1,21,80,186,67,36,35
38,0,21,81,184,62,33,30
31,2,15,79,185,63,33,32
38,1,19,81,183,65,36,36
39,2,22,81,186,66,39,36
42,2,29,80,184,64,41,39
39,0,25,73,184,66,37,35
39,0,18,79,183,64,36,35
32,0,27,80,181,63,32,28
38,3,27,76,184,66,36,34
41,1,29,81,184,66,37,37
41,1,30,81,183,68,40,42
43,0,29,81,185,65,38,36
41,1,28,81,183,60,37,35
39,0,29,76,183,61,31,27
29,0,28,81,180,63,35,34
38,0,27,77,183,68,39,36
40,1,30,78,182,65,37,37
41,3,32,82,186,66,39,38
45,0,30,79,187,64,35,36
39,0,29,79,187,65,36,36
32,0,26,80,186,63,33,35
35,0,29,81,186,65,32,38
41,1,31,80,185,66,38,37
41,1,30,80,184,66,38,38
43,1,30,79,182,67,37,37
40,1,30,79,191,65,37,37
38,0,30,79,191,64,32,31
31,0,24,76,193,66,35,37
41,0,31,82,193,66,38,39
40,1,30,80,195,67,38,39
41,2,34,81,195,65,39,40
39,6,30,79,193,70,37,38
38,0,30,80,194,68,37,36
31,0,30,76,192,57,34,34
41,2,31,80,192,63,38,39
40,1,30,78,196,63,38,39
42,2,30,82,196,63,38,40
37,2,30,77,184,63,37,38
38,0,30,77,185,63,34,34
27,1,32,80,190,61,33,35
45,0,30,83,196,63,38,38
40,0,30,78,193,64,38,40
42,0,32,77,191,65,38,40
41,1,30,77,194,64,37,38
38,0,27,77,192,60,33,33
32,0,29,79,190,63,37,38
41,1,30,82,193,67,37,38
40,1,30,81,195,77,38,40
42,2,28,81,196,78,36,38
39,0,29,79,196,76,37,35
33,0,27,80,193,76,35,31
39,0,29,79,196,77,39,37
41,1,30,81,194,75,38,38
