one,two,three,four,five,six,seven,eight
33,20,53,95,70,48,22,34
30,28,70,96,74,49,26,37
39,27,71,96,77,55,25,37
38,25,73,96,75,54,24,36
36,26,57,95,75,55,19,31
27,27,69,95,75,55,23,32
38,28,70,96,76,55,25,37
41,26,65,96,81,56,26,37
37,25,57,94,76,55,25,35
25,24,64,97,72,52,24,33
40,27,70,95,75,56,26,36
39,27,69,96,75,56,26,37
38,25,70,95,76,55,25,36
31,23,70,91,72,48,24,36
35,23,71,93,75,56,27,37
39,27,69,95,75,55,26,37
37,25,69,95,73,54,25,35
36,25,67,95,72,51,22,30
37,25,64,93,75,55,25,34
38,27,71,95,75,54,28,36
45,27,68,96,75,55,26,35
34,25,70,94,76,53,25,35
31,19,68,89,76,36,17,27
38,27,59,94,75,42,28,38
38,27,72,95,75,41,29,37
40,28,68,93,74,50,26,34
35,25,69,94,74,50,23,29
33,21,73,95,75,51,24,37
38,27,77,96,75,54,27,37
49,29,64,96,76,54,29,35
36,25,74,94,74,51,26,35
33,17,71,95,76,50,24,29
37,26,61,95,75,52,29,36
38,26,75,95,75,53,28,37
36,24,76,97,74,51,26,36
37,25,73,94,75,50,21,33
37,27,74,93,76,50,24,36
39,28,77,95,74,53,28,36
40,27,64,96,73,55,32,36
38,23,78,96,76,52,28,34
38,25,74,95,77,45,26,33
30,25,75,92,76,45,24,33
36,27,77,95,76,45,28,37
38,26,63,95,76,46,27,36
40,28,67,96,78,47,28,40
36,27,64,95,75,51,28,34
35,21,60,92,73,45,22,30
34,24,64,98,74,51,25,35
39,26,63,96,74,49,28,36
38,26,76,95,74,46,28,37
37,31,75,95,74,46,26,34
37,26,73,95,74,45,27,35
30,23,71,92,71,51,25,31
35,25,75,94,76,52,29,37
38,26,76,95,75,46,29,36
43,26,76,94,74,46,30,36
36,24,75,95,74,45,29,35
29,22,72,91,71,43,24,30
38,23,74,96,74,53,29,37
39,26,77,95,75,54,29,36
41,27,76,97,74,55,25,36
37,25,77,94,74,45,28,35
32,20,75,91,71,37,22,32
33,26,78,96,75,45,30,36
38,27,76,95,75,45,31,35
39,25,75,96,74,44,30,34
37,26,76,94,74,46,29,34
35,20,72,94,73,47,29,34
37,25,78,94,75,47,30,36
38,28,75,96,75,46,29,35
44,28,75,98,74,46,29,35
37,26,70,94,73,45,29,36
36,25,76,95,68,43,27,30
30,21,75,93,71,45,26,33
40,28,76,96,74,47,29,36
38,27,73,96,74,47,30,37
38,27,80,94,74,48,27,36
35,26,75,95,73,46,28,35
31,24,72,93,71,46,25,31
34,23,76,94,73,47,27,36
39,26,76,96,74,47,29,35
38,26,77,96,75,48,30,37
38,27,75,97,72,48,34,35
36,27,73,96,74,46,29,35
31,23,72,90,71,43,22,28
33,26,77,97,76,44,29,35
39,27,78,96,74,45,30,36
39,26,75,96,75,47,34,36
39,24,73,95,74,44,30,34
35,25,76,94,74,52,28,34
29,20,77,95,74,53,22,31
35,26,74,95,74,53,29,37
38,27,69,95,74,54,29,36
39,30,71,96,77,53,30,35
40,25,71,86,85,52,27,36
35,21,52,93,116,59,26,31
29,15,50,95,115,61,26,32
38,24,53,96,116,60,30,36
38,23,52,94,117,61,30,37
38,23,53,92,118,63,31,35
